distil_fn,lambda,temperature_t,val_loss,max acc,best_iter,val_acc
CE,0,0.5,325.5160777,80.16,8,79.9332
KD,0,0.5,320.1910796,80.464,8,80.0628
CE,0,1,320.9744711,80.168,4,79.8882
KD,0,1,324.207442,80.034,0,79.7912
CE,0,5,322.8137095,80.544,4,79.93
KD,0,5,325.4025546,80.272,2,79.9176
CE,0,10,325.1334398,80.316,8,79.9108
KD,0,10,318.769554,80.526,5,80.125
CE,0,20,321.8763134,80.35,8,79.9782
KD,0,20,320.3015787,80.382,8,80.0882
CE,0.2,0.5,312.2522579,80.24,6,79.9948
KD,0.2,0.5,319.258667,80.154,0,79.8644
CE,0.2,1,255.3063332,80.648,9,80.1536
KD,0.2,1,299.7578385,80.364,1,79.9386
CE,0.2,5,243.3396486,80.674,2,80.4432
KD,0.2,5,253.9902714,80.354,3,79.9854
CE,0.2,10,243.4714683,80.892,0,80.418
KD,0.2,10,256.5783548,80.688,5,80.0394
CE,0.2,20,241.3959262,81.024,2,80.6152
KD,0.2,20,258.3255161,80.422,0,80.1338
CE,0.4,0.5,295.9923446,80.414,4,79.8934
KD,0.4,0.5,316.1858425,79.86,7,79.466
CE,0.4,1,247.5888171,80.21,2,79.9244
KD,0.4,1,287.2910696,80.038,7,79.455
CE,0.4,5,245.7724401,80.844,3,80.736
KD,0.4,5,246.1539799,80.46,5,80.0696
CE,0.4,10,246.3071472,81.056,5,80.7108
KD,0.4,10,246.977886,80.436,7,80.14
CE,0.4,20,245.1117038,81.32,8,80.7814
KD,0.4,20,247.8006452,80.552,1,80.1646
CE,0.6,0.5,281.2302109,80.026,8,79.7228
KD,0.6,0.5,306.2540527,79.326,1,79.0554
CE,0.6,1,244.6524595,80.228,2,80.075
KD,0.6,1,272.6892539,79.564,1,79.201
CE,0.6,5,253.9460737,81,3,80.5588
KD,0.6,5,248.2437051,80.384,8,79.7614
CE,0.6,10,256.0811015,80.794,3,80.4918
KD,0.6,10,247.5615436,80.072,8,79.7756
CE,0.6,20,254.3442721,81.042,5,80.6254
KD,0.6,20,246.4534505,80.282,7,79.9436
