distil_fn,lambda,temperature_t,val_loss,max acc,best_iter,val_acc
CE,0,0.5,321.5592853,80.588,0,79.9872
KD,0,0.5,318.4414871,80.442,2,80.0382
CE,0,1,320.1317323,80.574,8,80.004
KD,0,1,319.7411788,80.388,4,80.1762
CE,0,5,321.1814281,80.294,0,79.8952
KD,0,5,316.8759543,80.314,2,80.0574
CE,0,10,319.8776695,80.452,5,80.072
KD,0,10,321.6287466,80.394,4,80.0132
CE,0,20,320.719837,80.432,7,80.0224
KD,0,20,321.5970404,80.438,5,79.9374
CE,0.2,0.5,314.7711367,80.14,3,79.859
KD,0.2,0.5,319.6254331,80.242,4,79.7284
CE,0.2,1,259.6019082,80.49,6,80.0666
KD,0.2,1,301.979592,80.316,3,79.9016
CE,0.2,5,241.3168569,80.746,8,80.5324
KD,0.2,5,256.055822,80.35,8,79.9496
CE,0.2,10,240.1746242,81.118,0,80.6738
KD,0.2,10,257.1001584,80.186,1,80.0176
CE,0.2,20,240.8375715,80.9,2,80.6192
KD,0.2,20,257.5817327,80.656,1,80.1252
CE,0.4,0.5,300.1056646,80.272,6,79.85
KD,0.4,0.5,315.4155913,79.998,6,79.697
CE,0.4,1,248.4826845,80.278,4,79.9988
KD,0.4,1,288.7303791,79.874,9,79.4896
CE,0.4,5,244.4216423,81.248,1,80.7798
KD,0.4,5,247.7290798,80.298,8,79.9506
CE,0.4,10,246.8128263,80.988,1,80.5492
KD,0.4,10,247.8929161,80.382,1,80.0758
CE,0.4,20,245.2066906,81.226,0,80.7034
KD,0.4,20,247.5136754,80.532,4,80.1672
CE,0.6,0.5,283.451145,79.93,8,79.686
KD,0.6,0.5,304.8460416,79.412,2,79.0804
CE,0.6,1,243.1798396,80.662,5,80.21
KD,0.6,1,275.4275624,79.716,4,79.1524
CE,0.6,5,252.1547011,81.016,8,80.6216
KD,0.6,5,246.9132735,80.296,6,79.8624
CE,0.6,10,255.2806482,80.974,5,80.4234
KD,0.6,10,245.5458004,80.318,1,80.0188
CE,0.6,20,254.0303443,80.934,9,80.497
KD,0.6,20,249.6206484,80.236,4,79.7594
