distil_fn,lambda,temperature_h,temperature_t,gamma,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0.0,1.0,0.5,0.0,320.65656147003176,4095.088129249215,1531.9101947963238,80.288,55.66952380952381,49.019485092730264,2,6,6,79.99080000000001,55.33495238095238,48.379841928163394
CE,0.0,1.0,1.0,0.0,322.550727891922,4118.324641281366,1543.9420648097991,80.22,56.025238095238095,48.95218718209563,7,8,6,79.93860000000001,55.34685714285714,48.175757101494646
CE,0.0,1.0,10.0,0.0,321.38732144832613,4109.70213162601,1540.5768344163894,80.336,55.67523809523809,48.826981766961424,8,8,8,79.9822,55.3354761904762,48.32475154550434
CE,0.0,1.0,20.0,0.0,321.0349927008152,4034.95881594941,1524.9425808727742,80.366,55.89714285714286,48.83167697002895,9,0,4,79.9526,55.49028571428572,48.384380624462004
CE,0.0,1.0,5.0,0.0,322.9877665489912,4120.157006932795,1546.1752387166023,80.544,55.68857142857143,48.78785507473198,6,3,4,80.0104,55.335809523809516,48.28828546834651
KD,0.0,1.0,0.5,0.0,319.43522934019563,4078.9322299085557,1536.700426518917,80.366,55.754285714285714,48.74403317943501,2,2,0,80.15419999999999,55.43190476190476,48.36074810235543
KD,0.0,1.0,1.0,0.0,321.4988018155098,4135.356632966548,1553.072061610222,80.442,55.90761904761905,48.54526958290946,6,4,7,80.08699999999999,55.28923809523809,48.169653337506844
KD,0.0,1.0,10.0,0.0,322.5825610011816,4110.082882325351,1560.9653965473176,80.348,56.025238095238095,48.65795445653025,0,2,6,80.12240000000001,55.632238095238094,48.361061115893264
KD,0.0,1.0,20.0,0.0,321.73045792877673,4095.4725221715867,1538.0299068570137,80.514,55.64857142857143,48.65012911808436,8,8,6,80.067,55.304523809523815,48.12817904374364
KD,0.0,1.0,5.0,0.0,322.9178228288889,4102.34011247009,1530.1537223279477,80.28,55.855714285714285,48.84889271460991,3,4,8,80.0014,55.41842857142857,48.36090460912435
CE,0.2,1.0,0.5,0.0,314.8298415452242,3953.2915049482135,1485.3629556298256,80.41,55.67095238095238,48.70647155489475,6,0,6,79.9876,55.05285714285715,48.21253619219031
CE,0.2,1.0,1.0,0.0,323.8089744836092,4091.2027612764387,1541.8166844487191,80.216,55.78857142857143,49.02418029579779,4,4,4,79.888,55.42790476190477,48.28922450896001
CE,0.2,1.0,10.0,0.0,431.8808390259743,6166.645433852076,2251.549798643589,83.328,57.184761904761906,49.87870725408874,3,3,1,82.78,56.88614285714285,49.3697472415682
CE,0.2,1.0,20.0,0.0,394.0150831192732,5811.154741573706,2102.1438522934914,83.634,57.71714285714286,50.238672822599575,9,0,4,83.32820000000001,57.148904761904774,49.72517411378041
CE,0.2,1.0,5.0,0.0,516.6967760413885,6979.5698365964,2535.0008645534517,81.588,56.17619047619048,49.20885828312075,0,6,1,81.4048,55.84061904761904,48.69989827060021
KD,0.2,1.0,0.5,0.0,321.2141345113516,4007.532379637659,1486.0121099352837,80.12,55.511428571428574,48.97096799436576,4,6,6,79.7242,55.126904761904754,48.37045152202833
KD,0.2,1.0,1.0,0.0,316.2293285042048,4027.0939206287267,1503.0344572007657,80.362,55.67,49.021050160419435,8,7,4,79.9322,55.13661904761905,48.35370529775413
KD,0.2,1.0,10.0,0.0,421.88074502646924,5682.703128079325,2083.019482946396,81.32,56.11904761904762,49.484310196416,5,5,0,81.0752,55.752809523809525,48.81258314422099
KD,0.2,1.0,20.0,0.0,384.89944140911103,5217.274924388528,1902.9467830896378,81.552,56.25857142857143,49.3935362704437,9,9,1,81.1862,55.887523809523806,48.97081148759684
KD,0.2,1.0,5.0,0.0,450.76509564518926,6082.956813951581,2266.128624069691,80.996,56.12761904761905,49.20885828312075,1,8,8,80.46279999999999,55.212666666666664,48.29329368495188
CE,0.4,1.0,0.5,0.0,301.2219076126814,3712.5885210223496,1392.1132017195225,79.908,55.48809523809524,48.65795445653025,0,9,6,79.7146,55.00014285714285,48.18639956178105
CE,0.4,1.0,1.0,0.0,319.79448611736296,4156.704792656004,1556.2077757954598,80.716,55.95428571428572,49.038265905000394,9,1,1,80.15339999999999,55.365904761904766,48.460755927693874
CE,0.4,1.0,10.0,0.0,435.0950043052435,6179.291757598146,2239.594136929512,83.356,57.45952380952381,49.946005164723374,1,8,1,83.02799999999999,57.12404761904762,49.63455669457704
CE,0.4,1.0,20.0,0.0,400.9830340981483,5836.6428863022475,2126.2446534752844,83.978,58.04095238095238,50.4530870960169,2,6,3,83.5272,57.572,50.135847875420616
CE,0.4,1.0,5.0,0.0,531.0395024061203,7025.621187578887,2557.997783958912,81.998,56.48714285714286,49.24641990766101,7,7,2,81.295,56.0932380952381,48.72227873855544
KD,0.4,1.0,0.5,0.0,315.7905364960432,3907.371022340655,1472.4590368151664,80.014,55.493809523809524,48.62352296736834,3,7,6,79.6996,55.075714285714284,48.105329055481654
KD,0.4,1.0,1.0,0.0,316.79723791480063,3941.844256725907,1478.5747929692268,79.962,55.72380952380952,48.33868064793802,1,3,5,79.497,54.79342857142857,47.80546208623523
KD,0.4,1.0,10.0,0.0,433.33213778436186,5973.833972762525,2170.159740281105,82.06,56.441428571428574,49.31841302136318,8,0,5,81.69519999999999,55.926904761904765,48.83261601064247
KD,0.4,1.0,20.0,0.0,399.88128771185876,5513.491670075059,1978.5219402194023,82.588,56.34809523809524,50.083731121371,4,9,4,81.9174,55.999999999999986,49.2525236716488
KD,0.4,1.0,5.0,0.0,490.463475933671,6620.2242058321835,2399.3035050034523,81.23,55.6647619047619,49.055481649581345,1,2,0,80.6066,55.2927619047619,48.54949526567024
CE,0.6,1.0,0.5,0.0,285.4960530668497,3469.051101685315,1300.2692158460618,80.03,55.51095238095238,48.93653650520385,0,7,9,79.71000000000001,55.10414285714286,48.23695124814148
CE,0.6,1.0,1.0,0.0,319.1486765623093,4107.959010956436,1542.9970520615577,80.348,56.053333333333335,48.651694185773536,7,9,9,80.1708,55.32219047619047,48.33148133656781
CE,0.6,1.0,10.0,0.0,434.35046922564504,6310.490917642414,2266.0284455895426,83.356,57.494285714285716,50.35292276390954,8,1,7,83.0598,57.042809523809524,49.65130291885124
CE,0.6,1.0,20.0,0.0,396.63717690855265,5876.921385903284,2136.819302356243,83.936,58.088095238095235,50.604898661867125,8,3,3,83.7324,57.51171428571429,49.97934110650285
CE,0.6,1.0,5.0,0.0,523.8669585943222,7126.257212717831,2558.310165810585,82.086,56.61857142857143,49.58603959621254,3,9,9,81.6192,55.89461904761904,48.79286329133735
KD,0.6,1.0,0.5,0.0,309.3135703295469,3726.216096163541,1387.5642846643925,79.528,55.22238095238095,48.36685186634322,5,5,7,79.0384,54.418666666666674,47.646451209014785
KD,0.6,1.0,1.0,0.0,313.03618262708187,3778.7095355182887,1408.2876455008984,79.736,55.13333333333333,48.23695124814148,3,6,4,79.1088,54.80304761904762,47.69747241568198
KD,0.6,1.0,10.0,0.0,441.7257231086493,6137.729487958551,2207.9702711462974,82.478,57.10619047619048,50.29032005634244,3,3,3,82.07300000000001,56.26719047619048,49.287581187886374
KD,0.6,1.0,20.0,0.0,406.96861086785793,5642.985751857608,2039.8559066653252,82.876,57.45761904761905,49.92878942014242,5,4,7,82.38239999999999,56.57390476190476,49.49119649424838
KD,0.6,1.0,5.0,0.0,509.5908426761627,6903.930011086166,2488.1915759444237,81.288,55.76904761904762,48.956882385163155,5,5,2,80.94019999999999,55.32157142857143,48.461694968307384
