distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0,1,0.5,0,80.0178,319.7960533,80.414,3,80.0178
CE,0,1,1,0,79.9734,322.1935446,80.44,1,79.9734
CE,0,1,10,0,79.9216,323.8425914,80.192,6,79.9216
CE,0,1,20,0,79.9058,322.6097077,80.092,6,79.9058
CE,0,1,5,0,79.927,321.7690371,80.33,7,79.927
KD,0,1,0.5,0,80.059,321.6166559,80.464,2,80.059
KD,0,1,1,0,79.9118,323.5796757,80.404,9,79.9118
KD,0,1,10,0,79.9964,322.2948334,80.298,2,79.9964
KD,0,1,20,0,79.9326,321.2147977,80.264,6,79.9326
KD,0,1,5,0,80.0228,320.7641186,80.234,1,80.0228
CE,0.2,1,0.5,0,80.04,312.2031818,80.332,8,80.04
CE,0.2,1,1,0,79.9248,300.5458729,80.082,2,79.9248
CE,0.2,1,10,0,80.7306,241.1489806,80.996,4,80.7306
CE,0.2,1,20,0,80.826,241.4127103,81.182,4,80.826
CE,0.2,1,5,0,80.5576,244.2442733,80.814,1,80.5576
KD,0.2,1,0.5,0,79.9136,319.6039415,80.626,7,79.9136
KD,0.2,1,1,0,79.764,315.3011817,80.048,8,79.764
KD,0.2,1,10,0,80.1016,261.1103501,80.412,9,80.1016
KD,0.2,1,20,0,80.2294,260.6489698,80.68,8,80.2294
KD,0.2,1,5,0,80.022,261.8949413,80.262,0,80.022
CE,0.4,1,0.5,0,79.8296,299.2462928,80.126,8,79.8296
CE,0.4,1,1,0,79.9356,285.1642895,80.154,1,79.9356
CE,0.4,1,10,0,80.8872,241.6669871,81.24,3,80.8872
CE,0.4,1,20,0,80.757,242.165397,81.104,6,80.757
CE,0.4,1,5,0,80.6938,242.3344556,80.858,9,80.6938
KD,0.4,1,0.5,0,79.4048,318.5903057,79.65,0,79.4048
KD,0.4,1,1,0,79.59,310.2888522,80.012,7,79.59
KD,0.4,1,10,0,80.0308,253.6939829,80.456,3,80.0308
KD,0.4,1,20,0,80.1514,253.3367108,80.332,8,80.1514
KD,0.4,1,5,0,79.9564,254.3619709,80.426,6,79.9564
CE,0.6,1,0.5,0,79.7474,282.7496086,80.088,2,79.7474
CE,0.6,1,1,0,80.1638,272.5884249,80.454,0,80.1638
CE,0.6,1,10,0,80.7576,244.1312939,81.078,8,80.7576
CE,0.6,1,20,0,80.8214,244.0150099,81.452,1,80.8214
CE,0.6,1,5,0,80.8212,241.8656345,80.976,6,80.8212
KD,0.6,1,0.5,0,78.939,308.0983872,79.384,4,78.939
KD,0.6,1,1,0,79.197,302.933531,79.636,2,79.197
KD,0.6,1,10,0,79.8606,252.2367176,80.126,4,79.8606
KD,0.6,1,20,0,79.912,251.3912038,80.192,6,79.912
KD,0.6,1,5,0,79.9116,251.7450882,80.298,9,79.9116
