distil_fn,lambda,temperature_t,val_loss,max acc,best_iter,val_acc
CE,0,0.5,318.4472481,80.302,4,80.0066
KD,0,0.5,319.9981527,80.466,1,80.0664
CE,0,1,321.6140975,80.272,5,79.95
KD,0,1,320.8827815,80.248,7,80.0266
CE,0,5,321.3001615,80.32,5,80.1236
KD,0,5,322.3521804,80.448,4,80.0116
CE,0,10,324.0284698,80.42,7,79.9702
KD,0,10,320.2401652,80.316,7,79.9974
CE,0,20,318.6603343,80.526,6,80.1896
KD,0,20,321.0300165,80.398,4,80.0956
CE,0.2,0.5,311.7012981,80.43,7,80.0888
KD,0.2,0.5,318.8070921,80.26,6,79.772
CE,0.2,1,322.3386281,80.344,9,79.9918
KD,0.2,1,320.3531241,80.04,8,79.899
CE,0.2,5,511.6145124,81.674,7,81.3696
KD,0.2,5,444.6102664,80.628,2,80.3538
CE,0.2,10,433.1164043,82.98,4,82.6324
KD,0.2,10,417.9525911,81.25,3,80.993
CE,0.2,20,390.1682046,83.464,9,83.1984
KD,0.2,20,384.0316931,81.3,8,81.1062
CE,0.4,0.5,300.2480907,80.274,5,79.8672
KD,0.4,0.5,313.389942,79.666,9,79.4038
CE,0.4,1,320.5300867,80.256,8,80.0858
KD,0.4,1,318.7266736,79.86,7,79.4826
CE,0.4,5,523.5310877,81.748,5,81.4002
KD,0.4,5,488.9110955,80.986,6,80.4694
CE,0.4,10,433.7637887,83.134,9,82.8124
KD,0.4,10,431.157149,82,5,81.622
CE,0.4,20,400.2597677,83.698,4,83.3588
KD,0.4,20,399.2791558,82.406,5,81.7558
CE,0.6,0.5,281.6176572,80.274,3,79.7936
KD,0.6,0.5,310.720035,79.51,4,79.083
CE,0.6,1,322.0655547,80.334,3,80.0266
KD,0.6,1,313.6066811,79.56,4,79.063
CE,0.6,5,520.1685881,81.772,6,81.5732
KD,0.6,5,511.4351064,81.274,7,80.7888
CE,0.6,10,430.1059472,83.402,1,83.031
KD,0.6,10,437.3114154,82.396,1,81.9952
CE,0.6,20,396.9600631,83.952,4,83.5584
KD,0.6,20,407.717284,82.776,2,82.2742
