distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.0,1.0,0.5,0.0,79.93319999999999,325.5160777181387,80.16,8,79.93319999999999
CE,0.0,1.0,1.0,0.0,79.88820000000001,320.97447111606596,80.168,4,79.88820000000001
CE,0.0,1.0,10.0,0.0,79.9108,325.13343977034094,80.316,8,79.9108
CE,0.0,1.0,20.0,0.0,79.9782,321.87631342411044,80.35,8,79.9782
CE,0.0,1.0,5.0,0.0,79.92999999999999,322.8137094914913,80.544,4,79.92999999999999
KD,0.0,1.0,0.5,0.0,80.0628,320.19107958376406,80.464,8,80.0628
KD,0.0,1.0,1.0,0.0,79.7912,324.2074420183897,80.034,0,79.7912
KD,0.0,1.0,10.0,0.0,80.125,318.76955403983595,80.526,5,80.125
KD,0.0,1.0,20.0,0.0,80.0882,320.30157872736453,80.382,8,80.0882
KD,0.0,1.0,5.0,0.0,79.91760000000001,325.4025546491146,80.272,2,79.91760000000001
CE,0.2,1.0,0.5,0.0,79.9948,312.25225788354874,80.24,6,79.9948
CE,0.2,1.0,1.0,0.0,80.1536,255.30633321404457,80.648,9,80.1536
CE,0.2,1.0,10.0,0.0,80.41799999999999,243.47146825492382,80.892,0,80.41799999999999
CE,0.2,1.0,20.0,0.0,80.61519999999999,241.39592622816562,81.024,2,80.61519999999999
CE,0.2,1.0,5.0,0.0,80.4432,243.3396486133337,80.674,2,80.4432
KD,0.2,1.0,0.5,0.0,79.8644,319.2586669743061,80.154,0,79.8644
KD,0.2,1.0,1.0,0.0,79.9386,299.7578385382891,80.364,1,79.9386
KD,0.2,1.0,10.0,0.0,80.0394,256.57835479974744,80.688,5,80.0394
KD,0.2,1.0,20.0,0.0,80.1338,258.3255160778761,80.422,0,80.1338
KD,0.2,1.0,5.0,0.0,79.9854,253.9902713775635,80.354,3,79.9854
CE,0.4,1.0,0.5,0.0,79.8934,295.9923445820808,80.414,4,79.8934
CE,0.4,1.0,1.0,0.0,79.92439999999999,247.58881707787515,80.21,2,79.92439999999999
CE,0.4,1.0,10.0,0.0,80.71079999999998,246.30714715123176,81.056,5,80.71079999999998
CE,0.4,1.0,20.0,0.0,80.78139999999999,245.11170376241208,81.32,8,80.78139999999999
CE,0.4,1.0,5.0,0.0,80.73599999999999,245.77244005799292,80.844,3,80.73599999999999
KD,0.4,1.0,0.5,0.0,79.46600000000001,316.1858424961567,79.86,7,79.46600000000001
KD,0.4,1.0,1.0,0.0,79.45500000000001,287.2910696476698,80.038,7,79.45500000000001
KD,0.4,1.0,10.0,0.0,80.14000000000001,246.97788601517678,80.436,7,80.14000000000001
KD,0.4,1.0,20.0,0.0,80.1646,247.8006452202797,80.552,1,80.1646
KD,0.4,1.0,5.0,0.0,80.0696,246.15397990942,80.46,5,80.0696
CE,0.6,1.0,0.5,0.0,79.72279999999999,281.230210852623,80.026,8,79.72279999999999
CE,0.6,1.0,1.0,0.0,80.075,244.65245952606202,80.228,2,80.075
CE,0.6,1.0,10.0,0.0,80.49180000000001,256.0811014741659,80.794,3,80.49180000000001
CE,0.6,1.0,20.0,0.0,80.62540000000001,254.34427211284637,81.042,5,80.62540000000001
CE,0.6,1.0,5.0,0.0,80.55879999999999,253.9460737347603,81.0,3,80.55879999999999
KD,0.6,1.0,0.5,0.0,79.05539999999999,306.2540526926517,79.326,1,79.05539999999999
KD,0.6,1.0,1.0,0.0,79.201,272.68925389647484,79.564,1,79.201
KD,0.6,1.0,10.0,0.0,79.77560000000001,247.56154364645482,80.072,8,79.77560000000001
KD,0.6,1.0,20.0,0.0,79.9436,246.45345050394536,80.282,7,79.9436
KD,0.6,1.0,5.0,0.0,79.7614,248.24370511174203,80.384,8,79.7614
