distil_fn,lambda,temperature_t,val_loss,max acc,best_iter,val_acc
CE,0,0.5,319.6702932,80.436,3,80.0526
KD,0,0.5,320.6103042,80.512,5,79.959
CE,0,1,321.4306604,80.216,2,80.0018
KD,0,1,321.8486284,80.39,1,80.0298
CE,0,5,323.0976854,80.266,5,80.0196
KD,0,5,319.4152026,80.364,4,80.0746
CE,0,10,319.8982922,80.216,1,79.9642
KD,0,10,322.6779058,80.624,4,80.0028
CE,0,20,319.6465931,80.464,5,80.0974
KD,0,20,323.4840427,80.12,6,79.8864
CE,0.2,0.5,312.7445768,80.262,2,80.0148
KD,0.2,0.5,317.7066754,80.132,1,79.8008
CE,0.2,1,320.2875826,80.424,2,80.0338
KD,0.2,1,319.0895654,80.322,2,79.9358
CE,0.2,5,526.3478923,81.786,8,81.4252
KD,0.2,5,452.5476934,80.594,6,80.17
CE,0.2,10,445.8180055,82.836,1,82.6574
KD,0.2,10,421.9182548,81.448,4,81.1276
CE,0.2,20,400.0641197,83.514,4,83.3026
KD,0.2,20,391.178043,81.466,9,81.117
CE,0.4,0.5,299.3986557,80.238,5,79.9492
KD,0.4,0.5,316.5481748,79.788,2,79.5244
CE,0.4,1,324.9281803,80.326,9,79.916
KD,0.4,1,316.9040289,80.22,4,79.521
CE,0.4,5,530.1316562,81.82,7,81.6208
KD,0.4,5,510.6063662,80.874,7,80.3972
CE,0.4,10,438.8859165,83.352,5,83.0458
KD,0.4,10,438.5793443,82.088,2,81.7242
CE,0.4,20,407.0854331,83.72,3,83.5392
KD,0.4,20,406.6643799,82.052,3,81.8288
CE,0.6,0.5,283.3719701,80.008,8,79.7452
KD,0.6,0.5,306.931752,79.462,2,78.9882
CE,0.6,1,320.4988036,80.278,2,79.9374
KD,0.6,1,313.2683491,79.438,3,79.255
CE,0.6,5,534.53476,81.916,7,81.6342
KD,0.6,5,525.8220715,81.106,3,80.7934
CE,0.6,10,440.3514145,83.35,3,83.1308
KD,0.6,10,445.4031107,82.45,5,82.1848
CE,0.6,20,412.4523974,83.838,5,83.5758
KD,0.6,20,413.9048655,82.814,6,82.3492
