distil_fn,lambda,temperature_h,temperature_t,gamma,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0.0,1.0,0.5,0.0,325.5160777181387,4131.251795223356,1547.6520174741745,80.16,55.65714285714286,48.626653102746694,8,0,6,79.93319999999999,55.263714285714286,48.338054620862344
CE,0.0,1.0,1.0,0.0,320.97447111606596,4044.9227870002387,1533.046488249302,80.168,55.69238095238095,48.964707723609045,4,3,7,79.88820000000001,55.33228571428572,48.3375851005556
CE,0.0,1.0,10.0,0.0,325.13343977034094,4168.806674517691,1562.8539761185646,80.316,55.904761904761905,48.5843962751389,8,5,7,79.9108,55.05633333333333,47.8942014242116
CE,0.0,1.0,20.0,0.0,321.87631342411044,4072.519127364457,1533.3448400735856,80.35,55.75476190476191,49.459269113389155,8,2,6,79.97820000000002,55.42409523809524,48.24696768135222
CE,0.0,1.0,5.0,0.0,322.8137094914913,4132.13686010167,1549.3923035919665,80.544,55.785714285714285,48.48110180765318,4,6,3,79.92999999999999,55.332190476190476,48.25228891149542
KD,0.0,1.0,0.5,0.0,320.19107958376406,4072.9909088455142,1535.4767838597297,80.464,56.07809523809524,49.036700837311216,8,7,8,80.0628,55.47395238095238,48.27466937945066
KD,0.0,1.0,1.0,0.0,324.2074420183897,4109.7854223027825,1549.3276696681976,80.034,55.695238095238096,49.15877611706706,0,1,0,79.7912,55.104904761904756,48.05775099773065
KD,0.0,1.0,10.0,0.0,318.76955403983595,4067.248555868864,1531.8548228740692,80.526,55.68714285714286,48.85202284998826,5,4,1,80.125,55.38604761904762,48.22756084200642
KD,0.0,1.0,20.0,0.0,320.30157872736453,4116.138021364063,1548.5234567821026,80.382,56.04,48.87862900070428,8,7,8,80.08820000000001,55.41023809523809,48.129118084357145
KD,0.0,1.0,5.0,0.0,325.4025546491146,4148.424965289235,1553.2241639375686,80.272,55.79238095238095,48.74716331481336,2,4,7,79.91760000000001,55.40128571428571,48.177948196259486
CE,0.2,1.0,0.5,0.0,312.25225788354874,3955.956020642072,1476.6841859638691,80.24,55.68571428571428,48.761248924015966,6,6,9,79.9948,55.109142857142864,48.21191016511464
CE,0.2,1.0,1.0,0.0,255.30633321404457,2948.2209164202213,1068.866003984213,80.648,56.07238095238095,48.29329368495188,9,9,0,80.1536,55.11280952380952,47.85523123875108
CE,0.2,1.0,10.0,0.0,243.47146825492382,2431.069034035504,872.8175811886788,80.892,56.077619047619045,48.745598247124185,0,3,8,80.41799999999999,55.59542857142858,48.27138273730339
CE,0.2,1.0,20.0,0.0,241.39592622816562,2458.164182300866,885.1712323129177,81.024,56.03904761904762,49.13373503404022,2,8,2,80.6152,55.677,48.23992487675092
CE,0.2,1.0,5.0,0.0,243.3396486133337,2447.315123745799,873.7338822901249,80.674,55.83761904761905,48.5217935675718,2,6,5,80.4432,55.299761904761894,47.93254558259644
KD,0.2,1.0,0.5,0.0,319.2586669743061,4011.987712673843,1516.3585659146308,80.154,55.68380952380952,48.773769465529384,0,2,8,79.8644,55.235,48.12348384067611
KD,0.2,1.0,1.0,0.0,299.7578385382891,3660.588363993168,1373.56517187953,80.364,56.22571428571428,49.2260740277017,1,6,6,79.9386,55.29795238095238,48.23601220752798
KD,0.2,1.0,10.0,0.0,256.57835479974744,2877.4642623119057,1045.9877395272256,80.688,55.76952380952381,48.48110180765318,5,0,2,80.0394,55.27538095238096,48.05806401126848
KD,0.2,1.0,20.0,0.0,258.3255160778761,2952.5950380764903,1067.898100143671,80.422,55.82190476190476,48.78785507473198,0,8,5,80.1338,55.23442857142858,48.18984271069725
KD,0.2,1.0,5.0,0.0,253.9902713775635,2852.9992269553245,1023.608649879694,80.354,55.88333333333333,49.17442679395884,3,2,3,79.98539999999998,55.19890476190476,48.23288207214962
CE,0.4,1.0,0.5,0.0,295.9923445820808,3629.285621833801,1371.3671997725965,80.414,56.05571428571429,48.919320760622895,4,3,0,79.8934,55.316428571428574,48.28280773143439
CE,0.4,1.0,1.0,0.0,247.58881707787515,2653.6383377246557,956.5368816554546,80.21,55.58095238095238,48.92401596369043,2,4,8,79.92439999999999,55.07190476190476,47.94428359026527
CE,0.4,1.0,10.0,0.0,246.30714715123176,2358.3846107333898,837.4535980582237,81.056,55.94904761904762,48.96157758823069,5,0,8,80.71079999999999,55.315714285714286,48.24383754597386
CE,0.4,1.0,20.0,0.0,245.11170376241208,2354.4386662736533,842.5322117209435,81.32,56.02428571428572,48.53118397370686,8,2,8,80.78139999999999,55.68795238095238,48.220518037405114
CE,0.4,1.0,5.0,0.0,245.77244005799292,2339.0355243198574,834.7626352012157,80.844,56.476190476190474,49.06487205571641,3,7,2,80.73599999999999,55.85647619047619,48.557477110885046
KD,0.4,1.0,0.5,0.0,316.1858424961567,3895.8682281844317,1452.8013158082963,79.86,55.32857142857143,48.5843962751389,7,0,2,79.46600000000001,54.885285714285715,48.0854526958291
KD,0.4,1.0,1.0,0.0,287.2910696476698,3411.267642454803,1252.659303253889,80.038,55.47142857142857,48.49518741685578,7,4,4,79.455,54.690999999999995,47.79685421394476
KD,0.4,1.0,10.0,0.0,246.97788601517678,2668.595889567584,952.6608123004437,80.436,55.80904761904762,48.814461225448,7,4,4,80.14000000000001,54.98657142857144,48.09437358165741
KD,0.4,1.0,20.0,0.0,247.8006452202797,2711.7018509194254,968.6647583305836,80.552,55.56857142857143,48.579701072071366,1,3,9,80.16460000000001,54.7937619047619,48.01330307535802
KD,0.4,1.0,5.0,0.0,246.15397990942,2603.2105396963657,933.4024533450604,80.46,55.69,48.82385163158307,5,9,2,80.0696,55.41600000000001,48.294545739103214
CE,0.6,1.0,0.5,0.0,281.230210852623,3388.005439598858,1268.2861282885074,80.026,55.85857142857143,48.97879333281164,8,8,0,79.7228,55.281142857142854,48.39658815243759
CE,0.6,1.0,1.0,0.0,244.65245952606202,2527.317941363156,899.8948485314846,80.228,55.70333333333333,48.9052351514203,2,1,7,80.075,55.12652380952382,48.06839345801706
CE,0.6,1.0,10.0,0.0,256.0811014741659,2332.440034851432,829.6492750227451,80.794,56.01904761904762,49.14469050786447,3,3,0,80.49179999999998,55.485238095238095,48.0572814774239
CE,0.6,1.0,20.0,0.0,254.34427211284637,2345.214976796508,830.9709933221341,81.042,56.584761904761905,48.845762579231554,5,1,2,80.62540000000001,55.305190476190475,48.03490100946866
CE,0.6,1.0,5.0,0.0,253.9460737347603,2323.2770808458326,826.2947199761868,81.0,56.1852380952381,48.9052351514203,3,5,3,80.55879999999999,55.641857142857134,48.19359887315126
KD,0.6,1.0,0.5,0.0,306.2540526926517,3701.7673387244345,1391.1610275268554,79.326,55.05714285714286,47.928632913373505,1,8,5,79.05539999999999,54.24142857142857,47.21950074340715
KD,0.6,1.0,1.0,0.0,272.68925389647484,3043.2062323264777,1112.7783211827277,79.564,55.693333333333335,48.98661867125753,1,7,1,79.201,54.930285714285716,47.94584865795445
KD,0.6,1.0,10.0,0.0,247.56154364645482,2486.5433848932385,892.3519591212273,80.072,55.74523809523809,48.175913608263556,8,2,9,79.77560000000001,55.17728571428572,47.92878942014242
KD,0.6,1.0,20.0,0.0,246.45345050394536,2527.8660384379327,902.6511840760708,80.282,55.38428571428572,48.30111902339776,7,2,1,79.9436,54.70771428571428,47.59840363095704
KD,0.6,1.0,5.0,0.0,248.24370511174203,2474.0829795271156,886.5523513913155,80.384,55.651428571428575,48.63134830581423,8,7,2,79.76140000000001,55.186,47.90280929650207
