distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.0,1.0,0.5,0.0,80.05260000000001,319.6702931970358,80.436,3,80.05260000000001
CE,0.0,1.0,1.0,0.0,80.0018,321.4306604474783,80.216,2,80.0018
CE,0.0,1.0,10.0,0.0,79.96419999999999,319.89829222261903,80.216,1,79.96419999999999
CE,0.0,1.0,20.0,0.0,80.0974,319.64659312665464,80.464,5,80.0974
CE,0.0,1.0,5.0,0.0,80.0196,323.09768540561197,80.266,5,80.0196
KD,0.0,1.0,0.5,0.0,79.95899999999999,320.61030420064924,80.512,5,79.95899999999999
KD,0.0,1.0,1.0,0.0,80.0298,321.84862840473653,80.39,1,80.0298
KD,0.0,1.0,10.0,0.0,80.00280000000001,322.67790583074094,80.624,4,80.00280000000001
KD,0.0,1.0,20.0,0.0,79.88640000000001,323.4840426951647,80.12,6,79.88640000000001
KD,0.0,1.0,5.0,0.0,80.0746,319.41520257890227,80.364,4,80.0746
CE,0.2,1.0,0.5,0.0,80.01480000000001,312.74457680583,80.262,2,80.01480000000001
CE,0.2,1.0,1.0,0.0,80.0338,320.2875826120377,80.424,2,80.0338
CE,0.2,1.0,10.0,0.0,82.65740000000001,445.8180055320263,82.836,1,82.65740000000001
CE,0.2,1.0,20.0,0.0,83.3026,400.06411970853804,83.514,4,83.3026
CE,0.2,1.0,5.0,0.0,81.4252,526.347892266512,81.786,8,81.4252
KD,0.2,1.0,0.5,0.0,79.8008,317.70667535066605,80.132,1,79.8008
KD,0.2,1.0,1.0,0.0,79.9358,319.0895654082298,80.322,2,79.9358
KD,0.2,1.0,10.0,0.0,81.1276,421.91825482547284,81.448,4,81.1276
KD,0.2,1.0,20.0,0.0,81.11699999999999,391.17804297059774,81.466,9,81.11699999999999
KD,0.2,1.0,5.0,0.0,80.17,452.54769338965417,80.594,6,80.17
CE,0.4,1.0,0.5,0.0,79.94919999999999,299.3986556917429,80.238,5,79.94919999999999
CE,0.4,1.0,1.0,0.0,79.91600000000001,324.9281803309917,80.326,9,79.91600000000001
CE,0.4,1.0,10.0,0.0,83.04579999999999,438.88591650128365,83.352,5,83.04579999999999
CE,0.4,1.0,20.0,0.0,83.53920000000001,407.0854331403971,83.72,3,83.53920000000001
CE,0.4,1.0,5.0,0.0,81.6208,530.1316561996937,81.82,7,81.6208
KD,0.4,1.0,0.5,0.0,79.5244,316.5481748253107,79.788,2,79.5244
KD,0.4,1.0,1.0,0.0,79.521,316.9040289103985,80.22,4,79.521
KD,0.4,1.0,10.0,0.0,81.72420000000001,438.57934429049493,82.088,2,81.72420000000001
KD,0.4,1.0,20.0,0.0,81.8288,406.6643798917532,82.052,3,81.8288
KD,0.4,1.0,5.0,0.0,80.39720000000001,510.606366199255,80.874,7,80.39720000000001
CE,0.6,1.0,0.5,0.0,79.7452,283.3719701141119,80.008,8,79.7452
CE,0.6,1.0,1.0,0.0,79.9374,320.49880355000494,80.278,2,79.9374
CE,0.6,1.0,10.0,0.0,83.1308,440.3514145463705,83.35,3,83.1308
CE,0.6,1.0,20.0,0.0,83.57579999999999,412.4523973703384,83.838,5,83.57579999999999
CE,0.6,1.0,5.0,0.0,81.6342,534.5347600013017,81.916,7,81.6342
KD,0.6,1.0,0.5,0.0,78.9882,306.93175196647644,79.462,2,78.9882
KD,0.6,1.0,1.0,0.0,79.255,313.2683491021395,79.438,3,79.255
KD,0.6,1.0,10.0,0.0,82.1848,445.403110653162,82.45,5,82.1848
KD,0.6,1.0,20.0,0.0,82.3492,413.9048654764891,82.814,6,82.3492
KD,0.6,1.0,5.0,0.0,80.7934,525.8220715045929,81.106,3,80.7934
