distil_fn,lambda,temperature_t,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0,0.5,318.4472481,4018.302807,1512.812623,80.302,55.91285714,48.9224509,4,2,4,80.0066,55.425,48.33132483
KD,0,0.5,319.9981527,4034.46023,1509.953729,80.466,56.10761905,48.84576258,1,1,2,80.0664,55.35738095,48.41818609
CE,0,1,321.6140975,4127.884197,1535.633478,80.272,55.66809524,49.20259801,5,1,9,79.95,55.15628571,48.41474294
KD,0,1,320.8827815,4027.923217,1519.870945,80.248,56.31714286,48.8207215,7,0,2,80.0266,55.59414286,48.37890289
CE,0,5,321.3001615,4121.280127,1554.899393,80.32,55.82714286,49.0335707,5,8,9,80.1236,55.38180952,48.39220596
KD,0,5,322.3521804,4122.103713,1540.637471,80.448,55.88904762,49.00852962,4,5,5,80.0116,55.3322381,48.35417482
CE,0,10,324.0284698,4140.774595,1559.309761,80.42,56.0652381,48.93966664,7,0,0,79.9702,55.45890476,48.40989123
KD,0,10,320.2401652,4014.966008,1520.708058,80.316,56.09619048,48.7283825,7,1,7,79.9974,55.48109524,48.14304719
CE,0,20,318.6603343,4086.70126,1533.730906,80.526,55.86047619,49.05235151,6,7,6,80.1896,55.44690476,48.33148134
KD,0,20,321.0300165,4089.210229,1541.190594,80.398,56.04714286,48.80976602,4,3,7,80.0956,55.38304762,48.07543626
CE,0.2,0.5,311.7012981,3947.208769,1494.710353,80.43,55.98857143,48.82698177,7,7,9,80.0888,55.39190476,48.31191799
KD,0.2,0.5,318.8070921,3982.534057,1497.520065,80.26,55.78238095,48.99913921,6,3,3,79.772,55.26033333,48.27529541
CE,0.2,1,322.3386281,4094.805117,1532.759367,80.344,56.01571429,48.83324204,9,7,7,79.9918,55.33533333,48.21222318
KD,0.2,1,320.3531241,4039.906605,1520.442493,80.04,55.94285714,48.85671805,8,7,1,79.899,55.45961905,48.34196729
CE,0.2,5,511.6145124,6855.259357,2468.496932,81.674,56.4247619,49.39353627,7,7,2,81.3696,55.92071429,48.844041
KD,0.2,5,444.6102664,5970.502503,2218.450689,80.628,55.66428571,48.72681743,2,2,0,80.3538,55.23128571,48.1087722
CE,0.2,10,433.1164043,6040.813518,2177.646831,82.98,57.47952381,50.57985758,4,1,1,82.6324,56.81847619,49.630018
KD,0.2,10,417.9525911,5632.656064,2074.840211,81.25,56.20714286,49.42483762,3,6,0,80.993,55.73280952,48.4970655
CE,0.2,20,390.1682046,5679.701048,2054.557892,83.464,57.42571429,50.42335081,9,2,4,83.1984,57.04471429,49.86243055
KD,0.2,20,384.0316931,5126.388448,1897.449837,81.3,56.09666667,49.12121449,8,5,8,81.1062,55.79928571,48.67657876
CE,0.4,0.5,300.2480907,3735.573841,1402.532726,80.274,55.85428571,48.69395101,5,6,5,79.8672,55.3,48.17309649
KD,0.4,0.5,313.389942,3878.931186,1453.631746,79.666,55.43285714,48.30737929,9,1,1,79.4038,54.72957143,47.89279286
CE,0.4,1,320.5300867,4093.755652,1535.226506,80.256,56.2147619,48.70960169,8,8,8,80.0858,55.2127619,48.16229752
KD,0.4,1,318.7266736,3958.573389,1472.546881,79.86,55.35047619,48.59378668,7,2,7,79.4826,54.50133333,47.79904531
CE,0.4,5,523.5310877,6949.014898,2493.651199,81.748,56.31238095,49.29180687,5,7,2,81.4002,55.84747619,48.81727835
KD,0.4,5,488.9110955,6570.638314,2359.967865,80.986,55.58809524,49.34971438,6,6,7,80.4694,55.30714286,48.61084592
CE,0.4,10,433.7637887,6180.286836,2216.051908,83.134,57.42857143,50.1572893,9,0,0,82.8124,56.67780952,49.34924485
KD,0.4,10,431.157149,5934.223898,2138.718112,82,56.3647619,49.72063542,5,7,0,81.622,55.8072381,48.89271461
CE,0.4,20,400.2597677,5821.080514,2092.19499,83.698,58.39190476,50.21832694,4,2,6,83.3588,57.22452381,49.89999217
KD,0.4,20,399.2791558,5501.119865,1976.959783,82.406,56.59285714,49.62829642,5,5,5,81.7558,56.14666667,49.13858674
CE,0.6,0.5,281.6176572,3440.416866,1295.505623,80.274,56.06666667,48.78472494,3,3,9,79.7936,55.21452381,48.07715784
KD,0.6,0.5,310.720035,3745.385225,1394.538538,79.51,55.04142857,47.98967055,4,4,8,79.083,54.42257143,47.78417717
CE,0.6,1,322.0655547,4099.807417,1536.5267,80.334,55.78809524,49.0335707,3,9,6,80.0266,55.23842857,48.36826043
KD,0.6,1,313.6066811,3770.754616,1413.797907,79.56,55.54857143,48.44667032,4,4,5,79.063,54.82628571,47.83253776
CE,0.6,5,520.1685881,6981.441057,2505.586141,81.772,56.34666667,49.27772126,6,4,3,81.5732,55.73438095,48.693638
KD,0.6,5,511.4351064,6782.990156,2432.33707,81.274,55.68666667,49.40449174,7,3,3,80.7888,55.50885714,48.68471711
CE,0.6,10,430.1059472,6233.868483,2225.783342,83.402,57.11666667,50.43743642,1,8,3,83.031,56.69652381,49.56882385
KD,0.6,10,437.3114154,6078.981073,2168.519963,82.396,56.72,50.02895375,1,1,6,81.9952,56.00119048,49.2924329
CE,0.6,20,396.9600631,5822.391758,2092.192715,83.952,57.67809524,50.28562485,4,2,1,83.5584,57.20766667,49.85804836
KD,0.6,20,407.717284,5715.179875,2056.607256,82.776,56.81809524,49.86775178,2,7,8,82.2742,56.41128571,49.1237186
