distil_fn,lambda,temperature_h,temperature_t,gamma,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0.0,1.0,0.5,0.0,319.6702931970358,4043.4892676405607,1523.8635219573976,80.436,56.14904761904762,49.17912199702637,3,3,2,80.05260000000001,55.56023809523809,48.37092104233508
CE,0.0,1.0,1.0,0.0,321.4306604474783,4073.813899102062,1527.5732754349708,80.216,55.80142857142857,48.71429689334064,2,7,7,80.0018,55.28404761904761,48.12708349636122
CE,0.0,1.0,10.0,0.0,319.89829222261903,4018.151240477711,1514.8616918206214,80.216,56.11571428571428,48.844197511542376,1,1,0,79.96419999999999,55.39852380952381,48.25667110102511
CE,0.0,1.0,20.0,0.0,319.64659312665464,4078.360318752378,1530.9678256392478,80.464,55.82,48.92401596369043,5,2,0,80.09740000000001,55.44861904761905,48.271382737303384
CE,0.0,1.0,5.0,0.0,323.09768540561197,4083.7036403618754,1532.3173960208892,80.266,56.1552380952381,48.68612567493544,5,9,9,80.01960000000001,55.496333333333325,48.209562563580874
KD,0.0,1.0,0.5,0.0,320.61030420064924,4055.8906570471822,1534.4865498304366,80.512,56.15190476190476,48.780029736286096,5,5,0,79.959,55.388952380952375,48.25526254010485
KD,0.0,1.0,1.0,0.0,321.84862840473653,4112.047643520683,1545.420912230015,80.39,55.98619047619048,48.65795445653025,1,1,1,80.02980000000001,55.385285714285715,48.31911730182331
KD,0.0,1.0,10.0,0.0,322.67790583074094,4101.485431993007,1540.4448172092439,80.624,55.87809523809524,48.883324203771814,4,4,4,80.00280000000001,55.339,48.22756084200642
KD,0.0,1.0,20.0,0.0,323.4840426951647,4028.112161386758,1524.7679856479167,80.12,56.086666666666666,49.22763909539088,6,9,2,79.8864,55.538380952380955,48.489866186712575
KD,0.0,1.0,5.0,0.0,319.41520257890227,4072.727004484087,1534.266725873947,80.364,55.946666666666665,48.919320760622895,4,6,1,80.0746,55.333190476190474,48.34259331716097
CE,0.2,1.0,0.5,0.0,312.74457680583,3957.941928781569,1493.3949867904187,80.262,55.60857142857143,48.6751702011112,2,7,2,80.01480000000001,55.17333333333333,48.214883793724084
CE,0.2,1.0,1.0,0.0,320.2875826120377,4082.606622778624,1530.4026865184308,80.424,55.873333333333335,49.3653650520385,2,3,3,80.0338,55.24233333333333,48.46044291415604
CE,0.2,1.0,10.0,0.0,445.8180055320263,6282.227969566733,2289.751956260204,82.836,57.451904761904764,50.329446748571876,1,0,0,82.65740000000001,56.98047619047619,49.656624148994446
CE,0.2,1.0,20.0,0.0,400.06411970853804,5746.219649996981,2109.761730825901,83.514,57.96095238095238,50.67845684325847,4,5,7,83.30260000000001,57.50452380952381,50.18890367008373
CE,0.2,1.0,5.0,0.0,526.347892266512,7045.338842326402,2576.8110474944115,81.786,56.50380952380952,49.46396431645669,8,7,1,81.4252,56.15804761904762,48.988340245715634
KD,0.2,1.0,0.5,0.0,317.70667535066605,3954.8071117050945,1483.845204973221,80.132,55.827619047619045,48.86767352688004,1,1,6,79.8008,55.34390476190477,48.35229673683387
KD,0.2,1.0,1.0,0.0,319.0895654082298,4048.895792977512,1520.6075603723525,80.322,55.53523809523809,48.524923702950154,2,0,2,79.9358,55.23580952380952,48.20408482666876
KD,0.2,1.0,10.0,0.0,421.91825482547284,5662.578732998669,2089.550457394123,81.448,56.326190476190476,49.22450896001252,4,4,4,81.1276,55.821761904761914,48.8549964785977
KD,0.2,1.0,20.0,0.0,391.17804297059774,5273.400118713826,1952.9473351955414,81.466,56.703809523809525,49.70185460521167,9,0,0,81.117,55.82728571428572,48.79677596056029
KD,0.2,1.0,5.0,0.0,452.54769338965417,6080.389051508903,2277.778931748867,80.594,55.764761904761905,48.40910869395101,6,7,7,80.17,55.2392380952381,47.98466233664606
CE,0.4,1.0,0.5,0.0,299.3986556917429,3754.217577185482,1413.760497623682,80.238,55.75190476190476,48.88019406839346,5,8,8,79.94919999999999,55.23390476190476,48.13240472650442
CE,0.4,1.0,1.0,0.0,324.9281803309917,4116.170622731745,1528.702912771702,80.326,55.53619047619048,49.09930354487832,9,1,6,79.91600000000001,55.132999999999996,48.296893340636984
CE,0.4,1.0,10.0,0.0,438.88591650128365,6211.867487934976,2282.50903455019,83.352,57.47,50.420220674544176,5,1,8,83.04580000000001,57.17333333333333,49.75929258940449
CE,0.4,1.0,20.0,0.0,407.0854331403971,5906.331633606926,2158.329363489151,83.72,57.91619047619048,50.57672744346193,3,6,6,83.53920000000001,57.52914285714286,50.23695124814149
CE,0.4,1.0,5.0,0.0,530.1316561996937,7125.4506131798025,2579.5738396286965,81.82,56.64142857142857,49.587604663901715,7,7,5,81.62080000000002,56.08757142857142,49.01212927459112
KD,0.4,1.0,0.5,0.0,316.5481748253107,3939.124273301661,1474.1208161592483,79.788,55.32142857142857,48.60943735816574,2,9,0,79.5244,54.906142857142854,47.99546130370138
KD,0.4,1.0,1.0,0.0,316.9040289103985,3927.4581154450775,1471.59986525774,80.22,55.33952380952381,48.52961890601769,4,4,4,79.52100000000002,54.786428571428566,48.07089756631974
KD,0.4,1.0,10.0,0.0,438.57934429049493,6059.022486069053,2225.480740451813,82.088,56.92952380952381,49.70341967290085,2,2,2,81.72420000000001,56.17433333333334,48.937162532279515
KD,0.4,1.0,20.0,0.0,406.6643798917532,5555.883750275522,2045.7237162590027,82.052,56.89380952380952,49.65490257453635,3,0,4,81.8288,56.432095238095236,49.31090069645512
KD,0.4,1.0,5.0,0.0,510.606366199255,6792.3570802927015,2490.7653181672094,80.874,55.815714285714286,48.91306048986619,7,2,4,80.39720000000001,55.37866666666666,48.48078879411535
CE,0.6,1.0,0.5,0.0,283.3719701141119,3457.3344966359437,1302.0512065529824,80.008,55.87809523809524,48.79568041317787,8,1,5,79.7452,55.204095238095235,48.05790750449956
CE,0.6,1.0,1.0,0.0,320.49880355000494,4062.694819034636,1540.9310056626796,80.278,56.0452380952381,48.413803897018546,2,0,5,79.9374,55.441047619047616,48.22364817278348
CE,0.6,1.0,10.0,0.0,440.3514145463705,6322.009689494223,2297.886589884758,83.35,57.602380952380955,50.25588856718053,3,5,5,83.13080000000001,57.06057142857143,49.704671727052194
CE,0.6,1.0,20.0,0.0,412.4523973703384,6056.255609419942,2198.18367934227,83.838,58.12285714285714,50.42804601299006,5,4,2,83.5758,57.23352380952381,49.863056577196964
CE,0.6,1.0,5.0,0.0,534.5347600013017,7144.777053128183,2609.732579278946,81.916,56.80619047619047,49.715940214414275,7,2,1,81.6342,56.16485714285714,48.985523123875105
KD,0.6,1.0,0.5,0.0,306.93175196647644,3666.3222225636246,1376.1239027500153,79.462,55.08904761904762,48.77063933015103,2,9,9,78.9882,54.557857142857145,47.746615541122154
KD,0.6,1.0,1.0,0.0,313.2683491021395,3824.221893976629,1422.901616591215,79.438,55.47142857142857,48.614132561233276,3,2,8,79.255,54.70461904761904,47.84208467016198
KD,0.6,1.0,10.0,0.0,445.403110653162,6245.904061414301,2269.374469256401,82.45,57.107142857142854,49.809844275764924,5,5,3,82.1848,56.49399999999999,49.29759762109711
KD,0.6,1.0,20.0,0.0,413.9048654764891,5802.91924598217,2099.95390304327,82.814,57.09285714285714,50.05086469989827,6,6,7,82.3492,56.40361904761905,49.60012520541513
KD,0.6,1.0,5.0,0.0,525.8220715045929,7082.176195608079,2578.1678993821142,81.106,55.97857142857143,49.157211049377885,3,3,6,80.79339999999999,55.329619047619055,48.42382033022928
